word,wlen,firsttime,totaltime
The ,4,206.77777777777777,206.77777777777777
intense ,8,260.3333333333333,636.4444444444445
interest ,9,220.55555555555554,599.1111111111111
aroused ,8,290.3333333333333,558.0
in ,3,63.77777777777778,63.77777777777778
the ,4,153.22222222222223,234.22222222222223
public ,7,251.77777777777777,507.8888888888889
by ,3,53.22222222222222,53.22222222222222
what ,5,243.77777777777777,312.6666666666667
was ,4,139.11111111111111,196.0
known ,6,188.11111111111111,240.88888888888889
at ,3,64.11111111111111,64.11111111111111
the ,4,108.0,117.88888888888889
time ,5,177.88888888888889,271.3333333333333
as ,3,151.44444444444446,151.44444444444446
'The ,5,161.33333333333334,232.55555555555554
Styles ,7,183.33333333333334,568.3333333333334
Case' ,6,155.77777777777777,467.0
has ,4,156.88888888888889,219.44444444444446
now ,4,241.44444444444446,329.55555555555554
somewhat ,9,194.22222222222223,442.8888888888889
subsided. ,10,253.33333333333334,578.8888888888889
"Nevertheless, ",14,243.77777777777777,530.3333333333334
in ,3,137.55555555555554,137.55555555555554
view ,5,155.55555555555554,251.66666666666666
of ,3,96.55555555555556,120.11111111111111
the ,4,158.88888888888889,211.11111111111111
world-wide ,11,213.11111111111111,506.55555555555554
notoriety ,10,272.44444444444446,881.1111111111111
which ,6,214.66666666666666,437.1111111111111
attended ,9,262.0,524.4444444444445
"it, ",4,119.11111111111111,119.11111111111111
I ,2,0.0,0.0
have ,5,241.66666666666666,316.6666666666667
been ,5,204.55555555555554,298.3333333333333
"asked, ",7,148.22222222222223,171.77777777777777
both ,5,224.77777777777777,282.44444444444446
by ,3,112.44444444444444,112.44444444444444
my ,3,145.88888888888889,229.22222222222223
friend ,7,170.0,348.55555555555554
and ,4,105.66666666666667,180.0
the ,4,180.88888888888889,270.6666666666667
family ,7,183.33333333333334,355.55555555555554
"themselves, ",12,152.11111111111111,401.0
to ,3,58.333333333333336,58.333333333333336
write ,6,177.0,246.88888888888889
an ,3,136.77777777777777,136.77777777777777
account ,8,232.88888888888889,344.0
of ,3,68.44444444444444,93.88888888888889
the ,4,146.66666666666666,161.66666666666666
whole ,6,202.0,247.77777777777777
story. ,7,169.33333333333334,169.33333333333334
"This, ",6,218.44444444444446,342.77777777777777
we ,3,145.88888888888889,145.88888888888889
"trust, ",7,298.1111111111111,537.5555555555555
will ,5,128.77777777777777,210.66666666666666
silence ,8,167.33333333333334,538.7777777777778
the ,4,53.77777777777778,108.55555555555556
sensational ,12,269.3333333333333,802.7777777777778
rumours ,8,260.1111111111111,274.22222222222223
which ,6,168.77777777777777,253.55555555555554
still ,6,206.22222222222223,303.22222222222223
persist. ,9,244.11111111111111,410.1111111111111
I ,2,33.77777777777778,33.77777777777778
will ,5,243.55555555555554,268.3333333333333
therefore ,10,229.66666666666666,342.8888888888889
briefly ,8,167.11111111111111,323.3333333333333
set ,4,216.66666666666666,216.66666666666666
down ,5,136.66666666666666,140.11111111111111
the ,4,112.88888888888889,112.88888888888889
circumstances ,14,269.77777777777777,433.6666666666667
which ,6,193.88888888888889,254.22222222222223
led ,4,130.11111111111111,189.33333333333334
to ,3,139.77777777777777,190.66666666666666
my ,3,111.11111111111111,139.66666666666666
being ,6,125.11111111111111,313.6666666666667
connected ,10,290.55555555555554,527.3333333333334
with ,5,190.66666666666666,203.55555555555554
the ,4,50.666666666666664,50.666666666666664
affair. ,8,141.11111111111111,543.1111111111111
I ,2,93.44444444444444,119.11111111111111
had ,4,217.22222222222223,392.22222222222223
been ,5,166.66666666666666,385.1111111111111
invalided ,10,232.22222222222223,868.5555555555555
home ,5,203.11111111111111,364.3333333333333
from ,5,184.55555555555554,309.1111111111111
the ,4,190.22222222222223,256.22222222222223
Front; ,7,198.55555555555554,248.33333333333334
"and, ",5,154.44444444444446,248.44444444444446
after ,6,260.0,417.55555555555554
spending ,9,181.0,250.22222222222223
some ,5,158.44444444444446,158.44444444444446
months ,7,174.44444444444446,268.3333333333333
in ,3,109.33333333333333,109.33333333333333
a ,2,47.22222222222222,47.22222222222222
rather ,7,231.11111111111111,326.22222222222223
depressing ,11,203.33333333333334,554.5555555555555
Convalescent ,13,261.6666666666667,848.3333333333334
"Home, ",6,162.0,171.11111111111111
was ,4,97.66666666666667,129.22222222222223
given ,6,309.8888888888889,407.22222222222223
a ,2,84.11111111111111,103.22222222222223
month's ,8,263.1111111111111,481.44444444444446
sick ,5,278.1111111111111,425.77777777777777
leave. ,7,207.0,318.1111111111111
Having ,7,244.33333333333334,293.22222222222223
no ,3,69.0,69.0
near ,5,187.88888888888889,260.6666666666667
relations ,10,184.55555555555554,501.22222222222223
or ,3,49.77777777777778,49.77777777777778
"friends, ",9,282.22222222222223,367.22222222222223
I ,2,48.888888888888886,48.888888888888886
was ,4,212.11111111111111,212.11111111111111
trying ,7,133.88888888888889,180.22222222222223
to ,3,29.444444444444443,29.444444444444443
make ,5,171.22222222222223,171.22222222222223
up ,3,97.11111111111111,97.11111111111111
my ,3,177.44444444444446,177.44444444444446
mind ,5,152.66666666666666,161.44444444444446
what ,5,145.55555555555554,180.33333333333334
to ,3,133.44444444444446,133.44444444444446
"do, ",4,97.55555555555556,113.55555555555556
when ,5,127.66666666666667,143.77777777777777
