word,wlen,firsttime,totaltime
De ,3,172.1,191.9
enorme ,7,168.4,365.7
belangstelling ,15,168.2,585.0
die ,4,93.6,124.4
het ,4,157.8,208.0
publiek ,8,158.8,229.7
toonde ,7,175.8,234.9
voor ,5,133.1,178.1
wat ,4,152.9,205.0
indertijd ,10,204.3,414.4
bekend ,7,221.1,355.1
stond ,6,114.7,123.2
als ,4,110.4,157.7
'de ,4,124.3,258.6
zaak ,5,170.2,374.1
"Styles', ",9,262.1,404.4
wordt ,6,189.8,296.8
nu ,3,156.0,202.6
wat ,4,181.3,297.5
minder. ,8,210.1,363.2
Niettemin ,10,261.1,491.9
is ,3,33.6,33.6
"mij, ",5,271.8,494.4
zowel ,6,302.1,399.1
door ,5,180.1,242.7
mijn ,5,111.2,131.1
vriend ,7,249.8,304.5
Poirot ,7,178.9,527.8
als ,4,122.9,142.9
door ,5,145.2,211.0
de ,3,89.0,117.1
betrokken ,10,238.7,447.6
"familieleden, ",14,192.2,337.9
verzocht ,9,195.9,332.1
een ,4,19.3,19.3
verslag ,8,225.8,321.0
van ,4,164.9,187.6
het ,4,31.7,31.7
hele ,5,145.2,233.2
gebeuren ,9,155.6,309.0
te ,3,54.7,54.7
"schrijven, ",11,181.0,261.7
gezien ,7,257.1,379.4
het ,4,96.2,109.3
feit ,5,153.3,176.5
dat ,4,51.2,51.2
er ,3,133.4,152.9
in ,3,97.8,114.8
de ,3,97.8,126.0
hele ,5,138.3,195.9
wereld ,7,152.3,229.5
grote ,6,100.0,100.0
ruchtbaarheid ,14,220.5,924.6
aan ,4,96.4,96.4
gegeven ,8,217.2,428.7
is. ,4,100.1,100.1
Op ,3,0.0,0.0
deze ,5,197.3,327.6
manier ,7,208.4,274.7
hopen ,6,135.2,215.8
we ,3,83.6,83.6
voorgoed ,9,235.8,404.6
een ,4,71.4,71.4
einde ,6,221.2,235.2
te ,3,45.2,45.2
maken ,6,86.6,86.6
aan ,4,82.5,82.5
de ,3,39.3,39.3
sensationele ,13,210.7,432.9
geruchten ,10,204.5,255.8
die ,4,70.3,70.3
nog ,4,138.3,216.3
steeds ,7,198.2,293.5
de ,3,93.9,110.4
ronde ,6,181.0,289.7
doen. ,6,76.8,123.9
Ik ,3,165.5,742.6
zal ,4,108.3,319.1
daarom ,7,186.6,448.9
in ,3,131.5,159.1
het ,4,119.3,154.8
kort ,5,79.9,91.5
de ,3,185.3,245.1
omstandigheden ,15,161.7,323.2
uiteenzetten ,13,168.2,240.7
die ,4,49.9,83.2
ertoe ,6,177.1,197.7
geleid ,7,181.7,196.3
hebben ,7,87.8,87.8
dat ,4,83.4,83.4
ik ,3,110.4,142.5
bij ,4,126.4,148.1
de ,3,83.3,83.3
zaak ,5,59.8,115.9
betrokken ,10,171.4,311.7
raakte. ,8,220.0,265.5
Ik ,3,0.0,0.0
was ,4,124.7,138.5
gewond ,7,195.5,245.5
van ,4,134.2,228.0
het ,4,215.6,364.9
